,523.2406606,550.156861,571.2487971,578.3504586,589.8253154,594.5913909,607.9813999,620.5164388,636.8303456,644.2461539,655.8243046,664.7240099,674.8911798,782.8168725,793.4625818,801.0739119,845.211528,861.3805725,867.0217556,880.8783348,994.116896,1072.290107,1078.516122,1156.526216,1183.335162,1231.343334,1248.417046,1270.259965,1279.414414,1289.378184,1380.736601,1454.933351,1500.654045,1514.20846,1744.29998,1864.259518,2060.233251,2069.288859,2087.32982,2109.068432,2135.24893,2192.579254,2254.426752,2266.80022,2294.467296,2311.430662,2333.754097,2355.594618,2376.403383,2398.491473,2483.550621,2722.316734,2745.635558,2909.064486,2956.941625
1,0.000923194,0.00079777,0.002846818,0.00076938,0.000967245,0.00105093,0.000813678,0.001441721,0.000463974,0.001730865,0.013819968,0.003720082,0.001597538,0.00281845,0.001484099,0.001467227,0.001948778,0.003329536,0.004242243,0.00234356,0.001184022,0.002508943,0.002758932,0.000546631,0.000252295,0.000850541,0.000976218,0.000642365,0.001060093,0.001956692,0.000216799,0.000167606,0.00087952,0.000424512,0.000300344,0.000598446,0.000192828,0.000122724,0.00120473,0.000350458,0.000802926,0.000271967,0.000238095,0.000153175,0.001347829,0.009719823,0.004288676,0.00212107,0.001846924,0.000875848,0.000211464,0.000174195,0.000147408,0.000234572,0.00022856
2,0.000675092,0.001184027,0.002656025,0.000897278,0.000818043,0.000941357,0.000120466,0.001389311,0.000250916,0.000973584,0.005894834,0.002062909,0.000842887,0.002609663,0.001066046,0.000918442,0.001958614,0.002433309,0.003386963,0.001317644,0.001427543,0.001732069,0.002546932,0.001062838,0.000910672,0.001886604,0.001264868,0.001506573,0.001136941,0.001886496,0.000418755,0.000918944,0.001041243,0.000308065,0.000582666,0.000809028,9.85E-05,9.45E-05,0.000872226,0.000395463,0.000531573,0.000181083,0.000879647,0.000851127,0.002952658,0.004506303,0.00427126,0.004190806,0.003754455,0.002175747,0.000368651,0.000140204,0.000177867,0.000302078,0.000493117
3,0.001390141,0.002808375,0.002713989,0.00120997,0.000629623,0.000847267,0.000153593,0.00083182,0.00050185,0.000886091,0.006726658,0.002016913,0.000657336,0.002542813,0.001144931,0.000754032,0.001319642,0.002346183,0.002702786,0.00182713,0.001256928,0.00147432,0.001635518,0.002601675,0.000929234,0.001923543,0.001840632,0.000733869,0.00115647,0.001245895,0.000581423,0.000879459,0.000600033,0.000905934,0.001313419,0.001412618,0.000327895,0.000244309,0.002355284,0.000422468,0.001468576,0.000743461,0.001028037,0.000648182,0.003743488,0.007061086,0.005250492,0.003505534,0.003289257,0.001484747,0.000699773,0.000343421,0.000344336,0.000877439,0.001328938
4,0.0010385,0.002404221,0.001859309,0.001013909,0.000369073,0.000781351,7.42E-05,0.000529207,0.000648194,0.000692875,0.006298872,0.001650124,0.000488682,0.001772801,0.000970891,0.000542232,0.000795758,0.001926523,0.002267534,0.001013725,0.000735592,0.00117852,0.001345882,0.001785182,0.000978859,0.002054457,0.001670048,0.000736314,0.001150774,0.001103817,0.000361946,0.000887095,0.000538638,0.004261475,0.000968957,0.001110884,0.000380915,0.000370097,0.002760756,0.000550881,0.001729472,0.000602379,0.000797712,0.000567796,0.003465677,0.011005517,0.006079746,0.003582982,0.002879365,0.001267448,0.000527528,0.000378859,0.000399267,0.000742332,0.001388174
5,0.000859992,0.001564842,0.001711785,0.000792987,0.000335586,0.000939889,0.000121943,0.000529745,0.00053867,0.000437125,0.005906158,0.001186051,0.000774545,0.001675767,0.000801967,0.000461809,0.000823936,0.001898315,0.001926432,0.000779827,0.000734664,0.00105521,0.001125847,0.00240361,0.001147051,0.002287823,0.002154666,0.001075386,0.001171384,0.000911222,0.000765372,0.00102852,0.000452974,0.000866959,0.001378704,0.001507752,0.000712121,0.000654172,0.004040119,0.001001452,0.002556544,0.001267116,0.001190843,0.000841357,0.004390268,0.00909266,0.006827635,0.004202574,0.002696779,0.001229622,0.000777403,0.000624854,0.000838317,0.001303275,0.00206736
6,0.002589894,0.001835823,0.001548312,0.001361153,0.000427825,0.000746387,0.000855133,0.000842467,0.001900369,0.000933013,0.006826709,0.001188731,0.001093664,0.001409731,0.000752479,0.000529557,0.000840268,0.001374547,0.002503913,0.000865157,0.00065929,0.000991393,0.001672918,0.001887304,0.000540108,0.001410552,0.001270216,0.000399183,0.000805678,0.001250754,0.000804418,0.001123172,0.000721572,0.002571144,0.002686401,0.000777615,0.000911653,0.000702815,0.004534019,0.000776532,0.00308697,0.002211969,0.001045512,0.00075734,0.00376744,0.008794843,0.004541886,0.002580728,0.001903565,0.000601694,0.000681977,0.001921407,0.001223405,0.002738465,0.003807237
